bin,vol_diff
0,22.81899999999999
1,17.221000000000004
2,14.295000000000002
3,14.328999999999994
4,11.997
5,13.933999999999997
6,12.930999999999997
7,13.099999999999994
8,12.587000000000003
9,8.593000000000004
10,3.8029999999999973
11,0.7340000000000018
12,-3.9979999999999976
13,-4.152000000000001
14,-8.741999999999997
15,-12.048000000000002
16,-17.263000000000005
17,-18.200999999999993
18,-20.935000000000002
19,-22.744
20,-27.069999999999993
21,-31.825999999999993
22,-33.739000000000004
23,-34.762
24,-28.052999999999997
25,-31.77000000000001
26,-29.909999999999997
27,-30.233000000000004
28,-25.419999999999987
29,-30.468999999999994
30,-33.94900000000001
31,-33.48000000000002
32,-32.735000000000014
33,-34.78399999999999
34,-34.76799999999997
35,-30.728999999999985
36,-29.788999999999987
37,-30.27600000000001
38,-29.762
39,-28.545000000000016
40,-23.072000000000003
41,-26.75400000000002
42,-25.502999999999986
43,-22.824000000000012
44,-18.31400000000002
45,-15.115999999999985
46,-11.336999999999989
47,-4.913000000000011
48,3.3519999999999754
49,2.16700000000003
50,2.6369999999999436
51,3.258000000000038
52,2.6760000000000446
53,1.1100000000000136
54,-0.8170000000000073
55,-2.729000000000042
56,-4.3419999999999845
57,0.03899999999998727
58,-1.4329999999999927
59,0.6689999999999827
60,3.6660000000000537
61,4.182999999999993
62,5.421000000000049
63,7.923999999999978
64,12.083999999999946
65,14.489000000000033
66,15.331999999999994
67,18.216999999999985
68,23.766999999999996
69,26.404999999999973
70,29.274
71,35.18799999999999
72,38.30099999999999
73,33.716999999999985
74,33.77600000000001
75,34.81099999999998
76,33.32499999999999
77,29.48399999999998
78,25.057000000000016
79,18.589
80,14.427000000000021
81,14.956999999999994
82,14.620000000000005
83,15.446000000000026
84,16.362000000000023
85,18.308999999999997
86,20.758999999999986
87,23.28
88,25.533999999999992
89,19.75399999999999
90,15.905000000000001
91,14.710000000000008
92,13.090000000000003
93,14.781000000000006
94,19.039999999999992
95,21.455000000000013
96,27.391000000000005
97,18.67
98,14.709000000000003
99,11.636000000000003
100,9.868000000000002
101,7.0489999999999995
102,7.490000000000002
103,6.840000000000003
104,8.911000000000001
105,7.335000000000001
106,7.552
107,1.4420000000000002
108,-3.7040000000000006
109,-6.5489999999999995
110,-13.093000000000004
111,-23.551000000000002
112,-40.625
113,-54.751000000000005
114,-71.53999999999999
115,-91.078
116,-114.57900000000001
117,-146.926
118,-176.716
119,-192.45299999999997
120,-173.712
121,-172.673
122,-151.067
123,-114.30799999999999
124,-56.04899999999998
125,-61.37300000000005
126,-56.00800000000004
127,-51.057000000000016
128,-44.077
129,-45.462999999999965
130,-44.30599999999998
131,-45.33300000000003
132,-53.04199999999997
133,-46.54399999999998
134,-44.12700000000001
135,-44.125
136,-41.322
137,-41.132000000000005
138,-39.799999999999955
139,-37.23599999999999
140,-33.54200000000003
141,-30.788999999999987
142,-27.113000000000056
143,-23.476
144,-21.51400000000001
145,-26.015999999999963
146,-26.890999999999963
147,-30.154999999999973
148,-37.80499999999995
149,-35.51599999999996
150,-39.29399999999998
151,-44.62300000000005
152,-43.559999999999945
153,-23.62900000000002
154,-0.41800000000000637
155,29.94500000000005
156,66.92600000000004
157,91.30399999999997
158,122.47699999999998
159,157.96400000000006
160,202.062
161,209.322
162,221.40999999999997
163,242.466
164,268.967
165,205.54100000000005
166,155.12300000000005
167,117.24300000000005
168,86.27099999999996
169,64.74400000000003
170,51.589999999999975
171,38.32600000000002
172,22.786999999999978
173,17.065999999999974
174,15.079999999999984
175,6.487000000000023
176,-0.5450000000000159
177,1.2980000000000018
178,2.105000000000018
179,2.512999999999977
180,9.77800000000002
181,4.216000000000008
182,3.134999999999991
183,4.6129999999999995
184,6.860000000000014
185,12.573000000000008
186,14.867999999999995
187,26.23400000000001
188,31.748999999999995
189,31.397999999999996
190,33.631
191,33.036
192,27.391000000000005
193,18.67
194,14.709000000000003
195,11.636000000000003
196,9.868000000000002
197,7.0489999999999995
198,7.490000000000002
199,6.840000000000003
200,8.911000000000001
201,7.335000000000001
202,7.552
203,1.4420000000000002
204,-3.7040000000000006
205,-6.5489999999999995
206,-13.093000000000004
207,-23.551000000000002
208,-40.625
209,-54.751000000000005
210,-71.53999999999999
211,-91.078
212,-114.57900000000001
213,-146.926
214,-176.716
215,-192.45299999999997
216,-173.712
217,-172.673
218,-151.067
219,-114.30799999999999
220,-56.04899999999998
221,-61.37300000000005
222,-56.00800000000004
223,-51.057000000000016
224,-44.077
225,-45.462999999999965
226,-44.30599999999998
227,-45.33300000000003
228,-53.04199999999997
229,-46.54399999999998
230,-44.12700000000001
231,-44.125
232,-41.322
233,-41.132000000000005
234,-39.799999999999955
235,-37.23599999999999
236,-33.54200000000003
237,-30.788999999999987
238,-27.113000000000056
239,-23.476
240,-21.51400000000001
241,-26.015999999999963
242,-26.890999999999963
243,-30.154999999999973
244,-37.80499999999995
245,-35.51599999999996
246,-39.29399999999998
247,-44.62300000000005
248,-43.559999999999945
249,-23.62900000000002
250,-0.41800000000000637
251,29.94500000000005
252,66.92600000000004
253,91.30399999999997
254,122.47699999999998
255,157.96400000000006
256,202.062
257,209.322
258,221.40999999999997
259,242.466
260,268.967
261,205.54100000000005
262,155.12300000000005
263,117.24300000000005
264,86.27099999999996
265,64.74400000000003
266,51.589999999999975
267,38.32600000000002
268,22.786999999999978
269,17.065999999999974
270,15.079999999999984
271,6.487000000000023
272,-0.5450000000000159
273,1.2980000000000018
274,2.105000000000018
275,2.512999999999977
276,9.77800000000002
277,4.216000000000008
278,3.134999999999991
279,4.6129999999999995
280,6.860000000000014
281,12.573000000000008
282,14.867999999999995
283,26.23400000000001
284,31.748999999999995
285,31.397999999999996
286,33.631
287,33.036
288,27.391000000000005
289,18.67
290,14.709000000000003
291,11.636000000000003
292,9.868000000000002
293,7.0489999999999995
294,7.490000000000002
295,6.840000000000003
296,8.911000000000001
297,7.335000000000001
298,7.552
299,1.4420000000000002
300,-3.7040000000000006
301,-6.5489999999999995
302,-13.093000000000004
303,-23.551000000000002
304,-40.625
305,-54.751000000000005
306,-71.53999999999999
307,-91.078
308,-114.57900000000001
309,-146.926
310,-176.716
311,-192.45299999999997
312,-173.712
313,-172.673
314,-151.067
315,-114.30799999999999
316,-56.04899999999998
317,-61.37300000000005
318,-56.00800000000004
319,-51.057000000000016
320,-44.077
321,-45.462999999999965
322,-44.30599999999998
323,-45.33300000000003
324,-53.04199999999997
325,-46.54399999999998
326,-44.12700000000001
327,-44.125
328,-41.322
329,-41.132000000000005
330,-39.799999999999955
331,-37.23599999999999
332,-33.54200000000003
333,-30.788999999999987
334,-27.113000000000056
335,-23.476
336,-21.51400000000001
337,-26.015999999999963
338,-26.890999999999963
339,-30.154999999999973
340,-37.80499999999995
341,-35.51599999999996
342,-39.29399999999998
343,-44.62300000000005
344,-43.559999999999945
345,-23.62900000000002
346,-0.41800000000000637
347,29.94500000000005
348,66.92600000000004
349,91.30399999999997
350,122.47699999999998
351,157.96400000000006
352,202.062
353,209.322
354,221.40999999999997
355,242.466
356,268.967
357,205.54100000000005
358,155.12300000000005
359,117.24300000000005
360,86.27099999999996
361,64.74400000000003
362,51.589999999999975
363,38.32600000000002
364,22.786999999999978
365,17.065999999999974
366,15.079999999999984
367,6.487000000000023
368,-0.5450000000000159
369,1.2980000000000018
370,2.105000000000018
371,2.512999999999977
372,9.77800000000002
373,4.216000000000008
374,3.134999999999991
375,4.6129999999999995
376,6.860000000000014
377,12.573000000000008
378,14.867999999999995
379,26.23400000000001
380,31.748999999999995
381,31.397999999999996
382,33.631
383,33.036
384,27.391000000000005
385,18.67
386,14.709000000000003
387,11.636000000000003
388,9.868000000000002
389,7.0489999999999995
390,7.490000000000002
391,6.840000000000003
392,8.911000000000001
393,7.335000000000001
394,7.552
395,1.4420000000000002
396,-3.7040000000000006
397,-6.5489999999999995
398,-13.093000000000004
399,-23.551000000000002
400,-40.625
401,-54.751000000000005
402,-71.53999999999999
403,-91.078
404,-114.57900000000001
405,-146.926
406,-176.716
407,-192.45299999999997
408,-173.712
409,-172.673
410,-151.067
411,-114.30799999999999
412,-56.04899999999998
413,-61.37300000000005
414,-56.00800000000004
415,-51.057000000000016
416,-44.077
417,-45.462999999999965
418,-44.30599999999998
419,-45.33300000000003
420,-53.04199999999997
421,-46.54399999999998
422,-44.12700000000001
423,-44.125
424,-41.322
425,-41.132000000000005
426,-39.799999999999955
427,-37.23599999999999
428,-33.54200000000003
429,-30.788999999999987
430,-27.113000000000056
431,-23.476
432,-21.51400000000001
433,-26.015999999999963
434,-26.890999999999963
435,-30.154999999999973
436,-37.80499999999995
437,-35.51599999999996
438,-39.29399999999998
439,-44.62300000000005
440,-43.559999999999945
441,-23.62900000000002
442,-0.41800000000000637
443,29.94500000000005
444,66.92600000000004
445,91.30399999999997
446,122.47699999999998
447,157.96400000000006
448,202.062
449,209.322
450,221.40999999999997
451,242.466
452,268.967
453,205.54100000000005
454,155.12300000000005
455,117.24300000000005
456,86.27099999999996
457,64.74400000000003
458,51.589999999999975
459,38.32600000000002
460,22.786999999999978
461,17.065999999999974
462,15.079999999999984
463,6.487000000000023
464,-0.5450000000000159
465,1.2980000000000018
466,2.105000000000018
467,2.512999999999977
468,9.77800000000002
469,4.216000000000008
470,3.134999999999991
471,4.6129999999999995
472,6.860000000000014
473,12.573000000000008
474,14.867999999999995
475,26.23400000000001
476,31.748999999999995
477,31.397999999999996
478,33.631
479,33.036
480,29.361999999999995
481,19.939999999999998
482,15.361999999999995
483,11.665999999999997
484,10.195
485,7.6229999999999976
486,8.274999999999999
487,7.784999999999997
488,9.954999999999998
489,7.445999999999998
490,7.673000000000002
491,1.463000000000001
492,-3.9279999999999973
493,-7.098999999999997
494,-13.097999999999999
495,-24.244
496,-42.321
497,-57.69200000000001
498,-74.995
499,-95.41499999999999
500,-120.32100000000003
501,-153.875
502,-185.274
503,-202.38
504,-181.22199999999998
505,-181.18200000000002
506,-158.11800000000005
507,-119.37
508,-58.48000000000002
509,-64.34299999999996
510,-57.96100000000001
511,-53.86900000000003
512,-45.98599999999999
513,-47.533000000000015
514,-45.55899999999997
515,-47.91999999999996
516,-55.23399999999998
517,-48.617999999999995
518,-46.27499999999998
519,-46.464000000000055
520,-43.908000000000015
521,-44.09100000000001
522,-41.21900000000005
523,-39.10400000000004
524,-34.75800000000004
525,-32.254999999999995
526,-28.784999999999968
527,-25.355999999999995
528,-21.634000000000015
529,-26.351
530,-27.456999999999994
531,-31.067000000000007
532,-39.27200000000005
533,-36.77800000000002
534,-41.499000000000024
535,-45.79600000000005
536,-45.634000000000015
537,-25.61099999999999
538,-0.2949999999999591
539,31.274999999999977
540,70.63599999999997
541,95.50800000000004
542,128.30999999999995
543,165.62900000000002
544,211.827
545,219.43200000000002
546,232.096
547,253.96400000000006
548,281.53700000000003
549,215.51999999999998
550,162.74699999999996
551,122.58799999999997
552,90.28300000000002
553,67.49400000000003
554,53.09500000000003
555,40.43700000000001
556,24.206000000000017
557,18.49799999999999
558,15.322000000000003
559,6.4150000000000205
560,0.0009999999999763531
561,1.3120000000000118
562,1.4909999999999854
563,2.298999999999978
564,10.100999999999999
565,4.178999999999974
566,3.8079999999999927
567,4.071000000000026
568,7.187000000000012
569,12.885999999999996
570,16.242999999999995
571,26.673000000000002
572,33.214
573,32.94
574,35.232
575,34.513999999999996
576,25.671999999999997
577,19.248999999999995
578,15.830999999999989
579,16.370000000000005
580,14.247
581,16.174999999999997
582,14.046999999999997
583,13.988
584,14.161000000000001
585,9.792000000000002
586,4.528000000000006
587,0.8260000000000005
588,-3.7479999999999976
589,-3.9209999999999994
590,-9.709000000000003
591,-13.429000000000002
592,-19.296000000000006
593,-20.101
594,-23.927000000000007
595,-26.087000000000003
596,-31.078000000000003
597,-35.929
598,-37.206999999999994
599,-38.607
600,-32.06
601,-35.741000000000014
602,-33.774
603,-34.013000000000005
604,-29.22199999999998
605,-34.40199999999999
606,-38.067999999999984
607,-37.78899999999999
608,-37.202
609,-39.382000000000005
610,-38.488999999999976
611,-34.56999999999999
612,-33.76299999999998
613,-33.435
614,-33.10700000000003
615,-31.988
616,-26.456000000000017
617,-29.974000000000046
618,-28.44100000000003
619,-25.30200000000002
620,-21.102999999999952
621,-18.004999999999995
622,-12.129000000000019
623,-5.402000000000044
624,3.395999999999958
625,2.062999999999988
626,2.5919999999999845
627,3.2899999999999636
628,2.634999999999991
629,0.8730000000000473
630,-1.2939999999999827
631,-3.44500000000005
632,-5.259999999999991
633,-0.08100000000001728
634,-1.7369999999999663
635,0.25300000000004275
636,4.249000000000024
637,4.831000000000017
638,6.224000000000046
639,9.039999999999964
640,13.720000000000027
641,15.799999999999955
642,17.498000000000047
643,20.494000000000028
644,26.488000000000056
645,29.95500000000004
646,31.932999999999993
647,39.08699999999999
648,43.464
649,38.30599999999998
650,37.874000000000024
651,39.28699999999998
652,37.865999999999985
653,33.795000000000016
654,27.93900000000002
655,20.91300000000001
656,16.105999999999995
657,16.826000000000022
658,16.572000000000003
659,16.500999999999976
660,17.656999999999982
661,19.973000000000013
662,23.853999999999985
663,26.814999999999998
664,29.476
665,22.098000000000013
666,17.643
667,16.799000000000007
668,14.477000000000004
669,16.502999999999986
670,22.044999999999987
671,24.512
