bin,pct
0,0.2181762358994529
1,0.20198500317232326
2,0.18125054362805323
3,0.1608164481921165
4,0.14474448412965396
5,0.13138234509170732
6,0.11993510047058512
7,0.11129997624793465
8,0.10594540819889522
9,0.10227912750295486
10,0.10172404253270192
11,0.10715237775145336
12,0.12042582160002072
13,0.1380873452944058
14,0.16268969733223432
15,0.19997674083054118
16,0.2543117476834642
17,0.32168143324077636
18,0.40365043129757855
19,0.5056038551725508
20,0.6358165655869136
21,0.8094774952943184
22,1.0049178885927867
23,1.1873144110387157
24,1.3272209757476792
25,1.4354130093212545
26,1.5189533938944226
27,1.5737140463857846
28,1.5936854216678906
29,1.5687357409492197
30,1.5136303004549427
31,1.4518833803222513
32,1.4029362010391495
33,1.3575102552720835
34,1.3132809232456664
35,1.2772486296665344
36,1.2558719781575447
37,1.249426851048349
38,1.253512237288651
39,1.2638202102501939
40,1.2772195424118955
41,1.2973599910228995
42,1.3222870508123927
43,1.3466158427855346
44,1.3654622972967905
45,1.378994800614418
46,1.390134076450747
47,1.4013931308230612
48,1.4143819406358575
49,1.4259903327989716
50,1.4385561721704976
51,1.4572848456841787
52,1.487320809566479
53,1.5304180710520527
54,1.581413295657696
55,1.633844534860065
56,1.6826758872906982
57,1.7318464885690394
58,1.7802991216029915
59,1.8231870320952466
60,1.8567659312079448
61,1.8841392103811176
62,1.9043321822468244
63,1.9133963729466823
64,1.9079816147694122
65,1.8892580638352232
66,1.8580895737823917
67,1.8141166918410436
68,1.7560891701472543
69,1.6798320521730536
70,1.590650724720378
71,1.497520259491775
72,1.4071996611027418
73,1.313151531646486
74,1.2181459549818179
75,1.1311580028112844
76,1.0603405623421795
77,1.005469703877612
78,0.9616081604746941
79,0.9244481226670899
80,0.8910091973338814
81,0.8656238478468572
82,0.8455040674663679
83,0.8238285720611149
84,0.7947633670063345
85,0.7601201408087406
86,0.7216474382092837
87,0.6791657671468667
88,0.6321147153999951
89,0.578698940719429
90,0.5212143668888699
91,0.46353378116652516
92,0.4080602851799316
93,0.34964737019936404
94,0.29232937241307966
95,0.24487187801106514